iter	RMSE
0	1648.963581
1	1488.550072
2	1342.143603
3	1213.305479
4	1097.426296
5	990.7379811
6	893.0321242
7	806.1433717
8	728.450384
9	657.7185285
10	594.1285119
11	535.8927827
12	484.6572184
13	438.1270877
14	396.0172253
15	357.6680905
16	322.9554531
17	292.1461924
18	264.1669716
19	238.748491
20	216.0556717
21	195.4853625
22	177.2346603
23	160.5211207
24	145.5531876
25	132.2113186
26	119.9636169
27	109.0072267
28	99.30190033
29	90.49367376
30	82.72025971
31	75.79957654
32	69.58154961
33	64.03359946
34	59.12511524
35	54.80548905
36	50.98986431
37	47.57583787
38	44.6799257
39	42.09631055
40	39.70512434
41	37.78560606
42	35.94937564
43	34.55531677
44	33.19613747
45	32.03076124
46	31.09289188
47	30.23914447
48	29.53975878
49	28.82203862
50	28.21385888
51	27.8204855
52	27.41962451
53	27.13806176
54	26.81657144
55	26.41001692
56	26.12625236
57	25.93918666
58	25.70472445
59	25.51021883
60	25.40340954
61	25.34105712
62	25.25770957
63	25.10648249
64	25.03233445
65	24.99988265
66	24.91934571
67	24.88733422
68	24.85580653
69	24.81529656
70	24.7860516
71	24.72506923
72	24.71012616
73	24.45727256
74	24.44832706
75	24.42857088
76	24.42559709
77	24.22973891
78	24.1849368
79	24.17692002
80	24.16367258
81	24.16246188
82	24.16107781
83	24.15743921
84	24.15462595
85	24.15279365
86	24.1420238
87	24.13823346
88	24.13678785
89	24.13654647
90	23.94880943
91	23.94712025
92	23.94627398
93	23.94491698
94	23.94420457
95	23.9441177
96	23.94190318
97	23.9417093
98	23.9411614
99	23.9410154
100	23.94097986
101	23.94095105
102	23.81958161
103	23.81955485
104	23.81942858
105	23.69055964
106	23.67912717
107	23.67909363
108	23.67907908
109	23.67901025
110	23.67895521
111	23.67891922
112	23.67887557
113	23.53358732
114	23.53168278
115	23.53088833
116	23.52994015
117	23.52990111
118	23.52920622
119	23.41499577
120	23.37770795
121	23.37770214
122	23.37757968
123	23.29511885
124	23.29442782
125	23.29386724
126	23.29341249
127	23.1840687
128	23.18378306
129	23.18377
130	23.18369535
131	23.15936814
132	23.15909175
133	23.10848148
134	23.10847514
135	23.08485005
136	22.99277051
137	22.99243511
138	22.99216303
139	22.9893741
140	22.9891455
141	22.98896006
142	22.98893087
143	22.98879291
144	22.9887789
145	22.98867439
146	22.98866859
147	22.98866389
148	22.98866007
149	22.98865698
150	22.98865447
151	22.93842897
152	22.9384238
153	22.93831436
154	22.84030375
155	22.84029591
156	22.75942018
157	22.75797463
158	22.73173118
159	22.72839966
160	22.72836405
161	22.72623665
162	22.71578028
163	22.71576616
164	22.65038293
165	22.65037129
166	22.65036185
167	22.65035815
168	22.65034049
169	22.65033742
170	22.65033187
171	22.65032736
172	22.65032484
173	22.65032279
174	22.65031907
175	22.63566632
176	22.6356623
177	22.63564178
178	22.63563829
179	22.60408516
180	22.60408208
181	22.60408004
182	22.6040727
183	22.60406674
184	22.60406609
185	22.60406556
186	22.60406512
187	22.60406112
188	22.60405787
189	22.60385731
190	22.60385725
191	22.60385719
192	22.6038543
193	22.60382767
194	22.60382525
195	22.5524149
196	22.55241354
197	22.5524132
198	22.55225759
199	22.5522565
200	22.55225595
201	22.55225549
202	22.55186541
203	22.55186511
204	22.51568517
205	22.51568435
206	22.4986632
207	22.49865446
208	22.4583688
209	22.45836452
210	22.45835812
211	22.45835292
212	22.45835042
213	22.45833531
214	22.45833181
215	22.45832896
216	22.45832666
217	22.45832479
218	22.45832327
219	22.45832204
220	22.45832134
221	22.45832041
222	22.45831966
223	22.45831905
224	22.45831856
225	22.45831815
226	22.45831783
227	22.45831756
228	22.45831735
229	22.45831717
230	22.45831703
231	22.41439622
232	22.41439242
233	22.39842792
234	22.36494887
235	22.3582131
236	22.34069274
237	22.34069269
238	22.33494199
239	22.20733754
240	22.15845337
241	22.15844963
242	22.15818613
243	22.15812459
244	22.15812245
245	22.14775905
246	22.147743
247	22.14769844
248	22.13845252
249	22.13845248
250	22.13074682
251	22.13005157
252	22.12644601
253	22.12640852
254	22.12640187
255	22.07752137
256	22.07751622
257	22.06628996
258	22.0662867
259	22.06628284
260	22.0593982
261	22.05939555
262	22.05937895
263	22.01100469
264	22.01099047
265	22.01098981
266	22.01098927
267	22.0109734
268	22.01094427
269	22.01094332
270	22.0109198
271	22.01090073
272	22.01089975
273	22.00283456
274	22.00281524
275	22.00281421
276	22.00279805
277	21.91890584
278	21.91890111
279	21.91889726
280	21.91888316
281	21.91888029
282	21.91886882
283	21.91885932
284	21.91885145
285	21.91884492
286	21.91883952
287	21.91883504
288	21.87591916
289	21.87591531
290	21.87590842
291	21.84426232
292	21.84426016
293	21.84425838
294	21.82339604
295	21.82339481
296	21.82336426
297	21.82336343
298	21.82336327
299	21.77814081
300	21.77814001
301	21.77813935
302	21.72100108
303	21.70476396
304	21.7046346
305	21.70463249
306	21.70463077
307	21.704523
308	21.70452185
309	21.67024362
310	21.63581415
311	21.63581075
312	21.63580797
313	21.63580571
314	21.63580386
315	21.63580235
316	21.60086513
317	21.60086307
318	21.60086087
319	21.60076171
320	21.60076025
321	21.52265619
322	21.5226534
323	21.52265114
324	21.52263403
325	21.52263252
326	21.52254859
327	21.49427843
328	21.49256805
329	21.4916013
330	21.47637951
331	21.47637808
332	21.47637689
333	21.46609742
334	21.4352155
335	21.42959485
336	21.38530245
337	21.37022647
338	21.37022346
339	21.27174502
340	21.27173084
341	21.19656797
342	21.19654092
343	21.12635313
344	21.12634731
345	21.06376215
346	21.06375489
347	21.0637498
348	21.06372018
349	21.06371653
350	21.06371356
351	21.06365854
352	21.06363715
353	21.06361982
354	21.06360576
355	21.06359437
356	21.06359328
357	20.98497852
358	20.98497511
359	20.98495092
360	20.98493131
361	20.98492938
362	20.92968635
363	20.86964412
364	20.86958693
365	20.86958379
366	20.86956953
367	20.86956803
368	20.86956612
369	20.86647598
370	20.82946781
371	20.82946555
372	20.82944401
373	20.82944201
374	20.82944075
375	20.82943674
376	20.82943591
377	20.8294328
378	20.82941791
379	20.82941622
380	20.8052203
381	20.80518843
382	20.80518759
383	20.80516117
384	20.80516051
385	20.80515998
386	20.75786285
387	20.75784134
388	20.72169762
389	20.72169543
390	20.72168075
391	20.70523207
392	20.70521526
393	20.70521391
394	20.70513821
395	20.69311532
396	20.69310147
397	20.60372269
398	20.55023191
399	20.55022089
400	20.48987447
401	20.48987064
402	20.48950991
403	20.4833129
404	20.48329413
405	20.43695809
406	20.43593719
407	20.43067077
408	20.43065264
409	20.41464765
410	20.41464714
411	20.41464673
412	20.41464531
413	20.40055448
414	20.39177465
415	20.39177149
416	20.39176894
417	20.39176687
418	20.39176519
419	20.34609201
420	20.34478592
421	20.30966779
422	20.30964313
423	20.30963989
424	20.30962108
425	20.30961939
426	20.3096176
427	20.30960364
428	20.30646132
429	20.30645981
430	20.3064259
431	20.30641387
432	20.30641261
433	20.29813213
434	20.29813192
435	20.23435335
436	20.23435215
437	20.23434935
438	20.23434723
439	20.23434656
440	20.2172091
441	20.21720797
442	20.16443698
443	20.16443152
444	20.16442708
445	20.16442349
446	20.16441462
447	20.16441255
448	20.16441088
449	20.12600965
450	20.12598661
451	20.12597825
452	20.12597147
453	20.12596597
454	20.12596151
455	20.1259579
456	20.12594781
457	20.10942333
458	20.10941417
459	20.10941182
460	20.10936384
461	20.1093622
462	20.10936087
463	20.1093598
464	20.10932055
465	20.10931675
466	20.10931619
467	20.10931574
468	20.10931199
469	20.10931178
470	20.10931161
471	20.10931147
472	20.10931136
473	20.10931127
474	20.10931119
475	20.07186348
476	20.07186245
477	20.07186161
478	20.07186093
479	20.07186038
480	20.07185993
481	20.07185957
482	20.07185928
483	20.07185904
484	20.07185884
485	20.07185869
486	20.07185856
487	20.06965043
488	20.06964493
489	20.06964477
490	20.06960005
491	20.06959989
492	20.03552341
493	20.03552103
494	20.03299609
495	20.03299588
496	20.03291747
497	20.02053177
498	20.02053135
499	20.00909387
500	19.99766255
501	19.99766117
502	19.95349678
503	19.95349528
504	19.93552282
505	19.93552066
506	19.90740831
507	19.90740579
508	19.90014615
509	19.9001438
510	19.90014205
511	19.90014063
512	19.90013935
513	19.90013526
514	19.90013451
515	19.90013397
516	19.87706104
517	19.87704962
518	19.87703118
519	19.87702426
520	19.87701866
521	19.87701406
522	19.87701036
523	19.87700735
524	19.87700486
525	19.87699775
526	19.82502316
527	19.82501364
528	19.82501122
529	19.82500942
530	19.82500797
531	19.82500228
532	19.81278371
533	19.81277959
534	19.81277066
535	19.79579964
536	19.79579494
537	19.79579435
538	19.79579079
539	19.77261539
540	19.77260245
541	19.77153553
542	19.77152541
543	19.7715172
544	19.7640611
545	19.75904725
546	19.75904626
547	19.75904143
548	19.74317324
549	19.74313617
550	19.7431359
551	19.68891858
552	19.68891494
553	19.68891264
554	19.68333369
555	19.68333283
556	19.66762396
557	19.66762035
558	19.66761893
559	19.6676124
560	19.66760711
561	19.66760282
562	19.66760228
563	19.66760185
564	19.66759875
565	19.66759623
566	19.66759419
567	19.66759254
568	19.63048895
569	19.63048097
570	19.63047451
571	19.63046927
572	19.63046502
573	19.63046439
574	19.63046388
575	19.63046086
576	19.63046059
577	19.6099191
578	19.609917
579	19.60991062
580	19.60990545
581	19.60990126
582	19.60989786
583	19.6098951
584	19.60989498
585	19.60989282
586	19.60989107
587	19.60989103
588	19.6098896
589	19.60988845
590	19.60567582
591	19.60567515
592	19.59817433
593	19.59817418
594	19.59817405
595	19.59817395
596	19.59817387
597	19.59817381
598	19.59817375
599	19.59817371
600	19.59817368
601	19.59817365
602	19.59817363
603	19.59817361
604	19.59817359
605	19.59817358
606	19.59817357
607	19.59817356
608	19.59817356
609	19.59817355
610	19.59817355
611	19.59817354
612	19.58458127
613	19.58458077
