iter	MultiClass
717	-0.1695565171
718	-0.1693030974
719	-0.1686898938
720	-0.1683755276
721	-0.1681666807
722	-0.1678414056
723	-0.1675762302
724	-0.1673668907
725	-0.1672853471
726	-0.167007261
727	-0.1668474238
728	-0.1665697637
729	-0.1662468155
730	-0.1660516737
731	-0.1656755928
732	-0.1654565404
733	-0.1651812865
734	-0.1649680054
735	-0.1647465717
736	-0.1645140186
737	-0.1643847391
738	-0.1641893604
739	-0.1639078451
740	-0.1637093204
741	-0.1633778364
742	-0.163140171
743	-0.1628571602
744	-0.1625318205
745	-0.1621307134
746	-0.1619042604
747	-0.1617241335
748	-0.1615563518
749	-0.161102738
750	-0.1607757219
751	-0.160566401
752	-0.1603764493
753	-0.1600839951
754	-0.1598563835
755	-0.1594669947
756	-0.1591614526
757	-0.1589869999
758	-0.1588965611
759	-0.1585974426
760	-0.1583616102
761	-0.1581604234
762	-0.1580087762
763	-0.1578777118
764	-0.1577577705
765	-0.1574191975
766	-0.1570838779
767	-0.1569157722
768	-0.1567248658
769	-0.1564672033
770	-0.1560365623
771	-0.1557401515
772	-0.1554515772
773	-0.1553526342
774	-0.1550155368
775	-0.1547325515
776	-0.1544580546
777	-0.1543258303
778	-0.1541593522
779	-0.1539270215
780	-0.1536449937
781	-0.1534664584
782	-0.1533505224
783	-0.1530790934
784	-0.1527659589
785	-0.1526429327
786	-0.1524514721
787	-0.1521344319
788	-0.1518715093
789	-0.1517203585
790	-0.1516037538
791	-0.1513921419
792	-0.1512138844
793	-0.1510386797
794	-0.1508715639
795	-0.1507354719
796	-0.1504060788
797	-0.1501983467
798	-0.1499802185
799	-0.1497109969
800	-0.1494620434
801	-0.1493494108
802	-0.1491843552
803	-0.1490268997
804	-0.1486334196
805	-0.1484601143
806	-0.1481477726
807	-0.1479324051
808	-0.1476899244
809	-0.1474609701
810	-0.1472553391
811	-0.1471423651
812	-0.147006332
813	-0.1466523691
814	-0.1461558413
815	-0.1459154631
816	-0.145703244
817	-0.1453722747
818	-0.1451968231
819	-0.1449982034
820	-0.1448771429
821	-0.1447237083
822	-0.1446137111
823	-0.1443496632
824	-0.1442679861
825	-0.1439462184
826	-0.1437726001
827	-0.1435405653
828	-0.1433566487
829	-0.1431526559
830	-0.1429229046
831	-0.1428160594
832	-0.1425217403
833	-0.1423424705
834	-0.1422275106
835	-0.1419979328
836	-0.1416324643
837	-0.1413551232
838	-0.1412575665
839	-0.1409400694
840	-0.1406894316
841	-0.1405093764
842	-0.1403193509
843	-0.1401103647
844	-0.13980588
845	-0.1396271421
846	-0.1394435153
847	-0.139249943
848	-0.1390279445
849	-0.1386273628
850	-0.138460857
851	-0.1382660491
