iter	Passed	Remaining
399	35562	53343
400	35650	53252
401	35727	53147
402	35810	53048
403	35891	52948
404	35982	52862
405	36060	52759
406	36148	52668
407	36230	52569
408	36310	52467
409	36400	52380
410	36489	52292
411	36570	52192
412	36653	52096
413	36744	52010
414	36829	51915
415	36906	51810
416	36996	51723
417	37082	51632
418	37175	51548
419	37265	51461
420	37353	51372
421	37438	51278
422	37525	51186
423	37602	51083
424	37686	50987
425	37762	50882
426	37848	50789
427	37937	50701
428	38042	50634
429	38144	50563
430	38244	50490
431	38335	50404
432	38422	50312
433	38524	50241
434	38616	50157
435	38708	50072
436	38791	49976
437	38879	49886
438	38964	49793
439	39050	49701
440	39129	49599
441	39208	49498
442	39290	49401
443	39378	49311
444	39454	49207
445	39537	49112
446	39619	49015
447	39700	48917
448	39825	48872
449	39911	48780
450	39997	48688
451	40083	48596
452	40164	48499
453	40248	48404
454	40327	48304
455	40407	48205
456	40491	48111
457	40572	48013
458	40654	47917
459	40741	47826
460	40822	47730
461	40919	47651
462	41003	47556
463	41083	47458
464	41160	47356
465	41241	47259
466	41326	47167
467	41405	47067
468	41490	46974
469	41566	46872
470	41649	46777
471	41732	46684
472	41813	46586
473	41893	46489
474	41976	46394
475	42064	46305
476	42144	46208
477	42224	46111
478	42302	46011
479	42388	45920
480	42476	45832
481	42556	45735
482	42629	45630
483	42711	45535
484	42790	45437
485	42876	45346
486	42960	45253
487	43040	45157
488	43128	45068
489	43208	44972
490	43287	44874
491	43368	44779
492	43450	44684
493	43528	44585
494	43617	44498
495	43699	44404
496	43783	44312
497	43866	44219
498	43949	44125
499	44032	44032
500	44116	43940
501	44198	43846
502	44287	43758
503	44372	43667
504	44448	43568
505	44538	43481
506	44624	43391
507	44709	43301
508	44803	43218
509	44889	43129
510	44969	43033
511	45052	42940
512	45132	42844
513	45220	42757
514	45296	42658
515	45378	42564
516	45469	42479
517	45557	42391
518	45640	42298
519	45726	42208
520	45812	42119
521	45890	42022
522	45963	41920
523	46045	41827
524	46125	41732
525	46206	41638
526	46285	41543
527	46363	41446
528	46445	41353
529	46526	41258
530	46610	41167
531	46693	41076
532	46775	40982
533	46902	40930
534	46988	40840
535	47068	40746
536	47150	40653
537	47229	40557
538	47311	40465
539	47404	40381
540	47481	40284
541	47559	40188
542	47647	40101
543	47732	40011
544	47813	39917
545	47894	39824
546	47976	39732
547	48053	39635
548	48133	39541
549	48215	39449
550	48332	39385
551	48413	39292
552	48496	39200
553	48597	39123
554	48700	39047
555	48787	38960
556	48884	38879
557	48967	38788
558	49065	38707
559	49162	38627
560	49261	38548
561	49368	38476
562	49476	38403
563	49556	38309
564	49652	38228
565	49785	38174
566	49910	38114
567	50006	38033
568	50093	37944
569	50175	37851
570	50257	37759
571	50335	37663
572	50431	37581
573	50565	37528
574	50648	37435
575	50737	37348
576	50830	37263
577	50911	37170
578	50998	37081
579	51082	36990
580	51160	36895
581	51241	36802
582	51319	36707
583	51398	36612
584	51520	36548
585	51632	36477
586	51767	36422
587	51890	36358
588	52018	36298
589	52118	36217
590	52206	36129
591	52286	36035
592	52433	35987
593	52576	35936
594	52715	35881
595	52820	35804
596	52912	35717
597	52996	35626
598	53076	35531
